Chr	Start	End	CE_start	CE_end
chr1	0	249250621	121700000	125100000
chr2	0	243199373	91800000	96000000
chr3	0	198022430	87800000	94000000
chr4	0	191154276	48200000	51800000
chr5	0	180915260	46100000	51400000
chr6	0	171115067	58500000	62600000
chr7	0	159138663	58100000	62100000
chr8	0	146364022	43200000	47200000
chr9	0	141213431	42200000	45500000
chr10	0	135534747	38000000	41600000
chr11	0	135006516	51000000	55800000
chr12	0	133851895	33200000	37800000
chr13	0	115169878	16500000	18900000
chr14	0	107349540	16100000	18200000
chr15	0	102531392	17500000	20500000
chr16	0	90354753	35300000	38400000
chr17	0	81195210	22700000	27400000
chr18	0	78077248	15400000	21500000
chr19	0	59128983	24200000	28100000
chr20	0	63025520	25700000	30400000
chr21	0	48129895	10900000	13000000
chr22	0	51304566	13700000	17400000
chrX	0	155270560	58100000	63800000
chrY	0	59373566	10300000	10600000
